PLAYER,TEAM,Conf.,AS Prob.,Model Prediction
Giannis Antetokounmpo,MIL,East,0.9959136843681335,Yes
Jimmy Butler,MIA,East,0.9865280985832214,Yes
Khris Middleton,MIL,East,0.9722266793251038,Yes
Jayson Tatum,BOS,East,0.9662601947784424,Yes
Kemba Walker,BOS,East,0.960981547832489,Yes
Pascal Siakam,TOR,East,0.9494308233261108,Yes
Domantas Sabonis,IND,East,0.9323895573616028,Yes
Kyle Lowry,TOR,East,0.9008011221885681,Yes
Bam Adebayo,MIA,East,0.8996038436889648,Yes
Zach LaVine,CHI,East,0.8877832293510437,Yes
Ben Simmons,PHI,East,0.8536120057106018,Yes
Joel Embiid,PHI,East,0.849503219127655,Yes
Bradley Beal,WAS,East,0.8315230011940002,No
Jaylen Brown,BOS,East,0.8224244713783264,No
Fred VanVleet,TOR,East,0.799822986125946,No
Tobias Harris,PHI,East,0.7778080105781555,No
Eric Bledsoe,MIL,East,0.7494357228279114,No
Kyrie Irving,BKN,East,0.7038370370864868,No
Nikola Vucevic,ORL,East,0.6900132298469543,No
Trae Young,ATL,East,0.6810818910598755,No
Spencer Dinwiddie,BKN,East,0.6347801089286804,No
Andre Drummond,CLE,East,0.6292027831077576,No
Al Horford,PHI,East,0.4027470052242279,No
Kevin Love,CLE,East,0.311177521944046,No
Derrick Rose,DET,East,0.29417210817337036,No
Anthony Davis,LAL,West,0.9956951141357422,Yes
LeBron James,LAL,West,0.9955783486366272,Yes
James Harden,HOU,West,0.9922646284103394,Yes
Damian Lillard,POR,West,0.9836522340774536,Yes
Kawhi Leonard,LAC,West,0.9810102581977844,Yes
Russell Westbrook,HOU,West,0.9764833450317383,Yes
Luka Doncic,DAL,West,0.9704025387763977,Yes
Nikola Jokic,DEN,West,0.9701887369155884,Yes
Donovan Mitchell,UTA,West,0.9649465084075928,Yes
Rudy Gobert,UTA,West,0.9484875798225403,Yes
Paul George,LAC,West,0.9307064414024353,Yes
Brandon Ingram,NOP,West,0.905414342880249,Yes
Devin Booker,PHX,West,0.8687130212783813,No
DeMar DeRozan,SAS,West,0.8292587399482727,No
Karl-Anthony Towns,MIN,West,0.7872011065483093,No
Lou Williams,LAC,West,0.7603657245635986,No
Shai Gilgeous-Alexander,OKC,West,0.7085304260253906,No
Montrezl Harrell,LAC,West,0.685766339302063,No
LaMarcus Aldridge,SAS,West,0.6837153434753418,No
Jamal Murray,DEN,West,0.6744571328163147,No
Dennis Schroder,OKC,West,0.6086137294769287,No
Will Barton,DEN,West,0.524507462978363,No
Chris Paul,OKC,West,0.5228361487388611,No
Jrue Holiday,NOP,West,0.45292556285858154,No
Hassan Whiteside,POR,West,0.38365980982780457,No
